127.0.0.1 - - [03/Sep/2015:18:11:48 +0600] "GET / HTTP/1.1" 404 994
192.168.43.1 - - [03/Sep/2015:18:11:52 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=EEE HTTP/1.1" 200 325
192.168.43.1 - - [03/Sep/2015:18:11:54 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150806_103411 HTTP/1.1" 200 88957
192.168.43.1 - - [03/Sep/2015:18:11:54 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150806_103411 HTTP/1.1" 200 88957
192.168.43.1 - - [03/Sep/2015:18:11:54 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150806_103411 HTTP/1.1" 200 88957
192.168.43.1 - - [03/Sep/2015:18:12:00 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=EEE HTTP/1.1" 200 325
192.168.43.1 - - [03/Sep/2015:18:48:16 +0600] "POST /SUSTeBoardServer/UploadServlet HTTP/1.1" 200 3
192.168.43.1 - - [03/Sep/2015:18:48:53 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=BBA HTTP/1.1" 200 2
192.168.43.1 - - [03/Sep/2015:18:48:56 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=BBA HTTP/1.1" 200 2
192.168.43.1 - - [03/Sep/2015:18:49:04 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=CSE HTTP/1.1" 200 1397
192.168.43.1 - - [03/Sep/2015:18:49:13 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=CSE,PME,IPE,PHY,EEE,BBA,ECO,ENG HTTP/1.1" 200 2347
192.168.43.1 - - [03/Sep/2015:18:49:13 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150726_175645 HTTP/1.1" 200 22091
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150806_103411 HTTP/1.1" 200 88957
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=book4 HTTP/1.1" 200 64192
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150819_163940 HTTP/1.1" 200 63880
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150812_111658 HTTP/1.1" 200 197865
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150726_175645 HTTP/1.1" 200 22091
192.168.43.1 - - [03/Sep/2015:18:49:14 +0600] "GET /SUSTeBoardServer/ImageServlet?title=book4 HTTP/1.1" 200 64192
192.168.43.1 - - [03/Sep/2015:18:49:15 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150819_163940 HTTP/1.1" 200 63880
192.168.43.1 - - [03/Sep/2015:18:49:15 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150806_103411 HTTP/1.1" 200 88957
192.168.43.1 - - [03/Sep/2015:18:49:15 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150812_111658 HTTP/1.1" 200 197865
192.168.43.1 - - [03/Sep/2015:18:49:30 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=ECO HTTP/1.1" 200 311
192.168.43.1 - - [03/Sep/2015:18:49:37 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=ECO HTTP/1.1" 200 311
192.168.43.1 - - [03/Sep/2015:18:49:38 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=ECO HTTP/1.1" 200 311
192.168.43.1 - - [03/Sep/2015:18:49:43 +0600] "GET /SUSTeBoardServer/ImageServlet?title=20150726_175645 HTTP/1.1" 200 22091
192.168.43.1 - - [03/Sep/2015:18:51:49 +0600] "GET /SUSTeBoardServer/DownloadServlet?fileName=Test-1.zip HTTP/1.1" 200 1042
192.168.43.1 - - [03/Sep/2015:18:51:59 +0600] "GET /SUSTeBoardServer/DownloadServlet?fileName=Test-1.zip HTTP/1.1" 200 1042
192.168.43.1 - - [03/Sep/2015:18:52:25 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=ECO HTTP/1.1" 200 311
192.168.43.1 - - [03/Sep/2015:18:52:27 +0600] "GET /SUSTeBoardServer/GetNoticeServlet?department=ECO HTTP/1.1" 200 311
